Time,IndexTipX,IndexTipY,IndexTipZ,Trial
0.951256,-0.351836,5.501119,-0.466662,8
0.963689,-0.356135,5.503260,-0.482278,8
0.973386,-0.364452,5.503411,-0.492718,8
0.984785,-0.369276,5.504545,-0.511555,8
0.997163,-0.373608,5.504959,-0.526179,8
1.007259,-0.379842,5.504671,-0.542264,8
1.017784,-0.384362,5.503642,-0.558211,8
1.029721,-0.385716,5.502328,-0.577924,8
1.040281,-0.386601,5.499871,-0.596247,8
1.051319,-0.388433,5.495226,-0.614049,8
1.063111,-0.389948,5.489939,-0.632035,8
1.073698,-0.392202,5.485618,-0.645553,8
1.083986,-0.394225,5.480458,-0.660524,8
1.096398,-0.394354,5.475390,-0.674896,8
1.106915,-0.393081,5.470093,-0.687974,8
1.117594,-0.393620,5.465322,-0.698933,8
1.130120,-0.390550,5.458417,-0.713862,8
1.140198,-0.387031,5.452935,-0.725440,8
1.151202,-0.385951,5.447608,-0.734652,8
1.162472,-0.381750,5.441656,-0.745864,8
1.173584,-0.379463,5.436492,-0.753469,8
1.184896,-0.374864,5.430239,-0.763014,8
1.196223,-0.372152,5.425383,-0.769756,8
1.207061,-0.368881,5.419787,-0.775906,8
1.217289,-0.368269,5.416079,-0.779746,8
0.010049,-0.366543,5.410042,-0.785686,9
0.020505,-0.366082,5.405825,-0.790639,9
0.030680,-0.366346,5.402403,-0.794820,9
0.042715,-0.366716,5.398591,-0.799711,9
0.053580,-0.367484,5.396516,-0.803152,9
0.064456,-0.368600,5.394694,-0.806906,9
0.076409,-0.368997,5.393458,-0.808738,9
0.087942,-0.369967,5.392414,-0.811565,9
0.097568,-0.369187,5.392150,-0.813119,9
0.115402,-0.368518,5.392107,-0.814591,9
0.119929,-0.366318,5.391861,-0.816375,9
0.131457,-0.363546,5.392419,-0.817803,9
0.142829,-0.361038,5.393267,-0.818223,9
0.153370,-0.358330,5.393634,-0.819380,9
0.165579,-0.355549,5.394036,-0.821196,9
0.176039,-0.352768,5.394544,-0.822198,9
0.187821,-0.350171,5.395568,-0.822325,9
0.197581,-0.347298,5.396463,-0.823145,9
0.209262,-0.344788,5.397852,-0.823335,9
0.219400,-0.342308,5.398760,-0.823293,9
